見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690,073-436-1337,〒640-8137和歌山市吹上1-4-14,9:30?17:00（入館は16:30まで）,月曜 （祝日の場合次の平日）、12/21?1/4 ※1月25日?4月23日まで照明工事のため休館します。,コレクション名品選,展示,1月5日（火）?24日（日）,,,,,,
県立博物館,073-436-8670,073-436-6643,〒640-8137和歌山市吹上1-4-14,9:30?17:00（入館は16:30まで）,月曜 （祝日の場合次の平日）、12/28?1/4 ,企画展「?風（びょうぶ）の美?収蔵品の名品から?」,展示,?1月24日（日）,,,,,,
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,月曜 （祝日の場合次の平日）、12/28?1/4 ,"冬期企画展「No 工具,No Life?「木の国」一万年の工具箱?」",展示,1月16日（土）?2月28日（日）,,,,,,
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,月曜 （祝日の場合次の平日）、12/28?1/4 ,学芸員講座「熊野(5)」,イベント,1月31日（日）13:30?15:00,,小学生以上,30人（先着順）,,1月15日13:00?,
県立紀伊風土記の丘,073-471-6123,073-471-6120,〒640-8301和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,月曜 （祝日の場合次の平日）、12/28?1/4 ,冬期企画展 展示講座,イベント,2月7日（日）13:30?15:30,,小学生以上,15人（先着順）,,1月22日13:00?,
県立自然博物館,073-483-1777,073-483-2721,〒642-0001海南市船尾370-1,9:30～17:00（入館は16:30まで）,月曜 （祝日の場合次の平日）、12/28?1/4 ,月刊クイズで楽しむ自然博物館!!,イベント,開館日に実施毎月、月替わりで館内の展示に関するクイズを出題,,,,,,
県立図書館,073-436-9500,073-436-9501,〒641-0051和歌山市西高松1-7-38,9:00?19:00（土日祝は18:00まで）,月曜（祝日の場合次の平日）毎月第2木曜 、12/28?1/4,きのくに県民カレッジ認定証授与式・記念講演,イベント,1月24日（日）13:00?14:30,,,100人（先着順）,,1月15日まで,
南紀熊野ジオパークセンター,0735-67-7100,0735-67-7191,〒649-3502串本町潮岬2838-3,9:00～17:00,12/29?1/3,特別展「防災について考えよう」,展示,1月16日（土）?25日（月）,,,,,,
片男波公園万葉館・健康館,073-446-5553,073-446-5554,〒641-0022和歌山市和歌浦南3-1700,9:00～17:00（入館は16:30まで）,12/29?1/3,企画展 和歌山県歌人クラブ短歌作品展示会「ふるさとを詠（うた）う」,展示,1月28日（木）?3月28日（日）,,,,,,
片男波公園万葉館・健康館,073-446-5553,073-446-5554,〒641-0022和歌山市和歌浦南3-1700,9:00～17:00（入館は16:30まで）,12/29?1/3,日曜体験教室「楽しい てまり つくり（全2回）」,イベント,1月24・31日（日）13:00?15:00,,18歳以上,10人（先着順）,"1,800円（2回分）",事前申込,
片男波公園万葉館・健康館,073-446-5553,073-446-5554,〒641-0022和歌山市和歌浦南3-1700,9:00～17:00（入館は16:30まで）,12/29?1/3,日曜体験教室「フラワーアレンジメント～バレンタイン～」,イベント,2月11日（祝）13:30?15:30,,小学生以上（小学生は保護者同伴）,6人（先着順）,"1,600円",事前申込 ,
県植物公園緑花センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,9:00～17:00（入館は16:30まで）,火曜（祝日の場合次の平日）、12/28?1/1 ,,,,,,,,,1月の花ごよみ　ツバキ、ハボタン、ビオラ、洋ラン、シクラメン
県植物公園緑花センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,9:00～17:00（入館は16:30まで）,火曜（祝日の場合次の平日）、12/28?1/1 ,バラの手入れ教室,イベント,1月10日（日）,,,20人（先着順）,300円,事前申込,
県植物公園緑花センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,9:00～17:00（入館は16:30まで）,火曜（祝日の場合次の平日）、12/28?1/1 ,1月の寄せ植え教室,イベント,1月17日（日）,,,40人（先着順）,"1,800円",事前申込,
県植物公園緑花センター,0736-62-4029,0736-63-2570,〒649-6211岩出市東坂本672,9:00～17:00（入館は16:30まで）,火曜（祝日の場合次の平日）、12/28?1/1 ,早春の洋ラン展,展示,2月5日（金）?7日（日）,,,,,,
